"completions","attempts","passing_yards","passing_tds","interceptions","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_first_downs","passing_2pt_conversions","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","predicted_passing_yards","player_name","player_display_name","position","recent_team","season","week","season_type","opponent_team"
22,35,284,0,1,0,0,261,14,0,7,10,0,0,0,0,255.348661504818,NA,NA,NA,NA,NA,NA,NA,NA
15,27,256,4,0,0,0,351,10,0,5,21,0,0,0,2,237.482901186938,NA,NA,NA,NA,NA,NA,NA,NA
23,28,326,6,0,0,0,302,17,0,5,18,0,1,0,1,346.854173480537,NA,NA,NA,NA,NA,NA,NA,NA
24,38,314,3,0,1,0,384,15,0,5,7,0,0,0,1,301.867233780243,NA,NA,NA,NA,NA,NA,NA,NA
28,45,304,1,0,0,0,357,13,0,3,7,1,1,0,1,277.854146872501,NA,NA,NA,NA,NA,NA,NA,NA
22,38,313,0,2,0,0,356,17,0,4,13,1,0,0,1,290.758402654583,NA,NA,NA,NA,NA,NA,NA,NA
23,36,352,4,2,0,0,319,14,0,2,9,0,0,0,1,295.887605322396,NA,NA,NA,NA,NA,NA,NA,NA
28,39,358,4,1,2,0,336,19,0,4,45,0,0,0,4,368.899053192082,NA,NA,NA,NA,NA,NA,NA,NA
24,34,303,4,1,0,0,245,15,0,2,-1,0,0,0,0,305.223042412859,NA,NA,NA,NA,NA,NA,NA,NA
23,32,375,3,1,0,0,216,15,0,2,18,0,0,0,0,299.086503968303,NA,NA,NA,NA,NA,NA,NA,NA
21,28,249,2,0,0,0,204,12,0,4,21,0,0,0,2,251.949946638349,NA,NA,NA,NA,NA,NA,NA,NA
33,46,478,6,3,2,2,467,21,0,6,28,0,0,0,0,424.168884418006,NA,NA,NA,NA,NA,NA,NA,NA
23,38,295,4,0,0,0,450,14,0,9,52,0,0,0,2,319.256312511483,NA,NA,NA,NA,NA,NA,NA,NA
35,53,377,2,1,1,0,408,18,0,2,-3,0,0,0,0,355.137872332612,NA,NA,NA,NA,NA,NA,NA,NA
24,34,243,2,0,0,0,210,12,0,2,3,0,0,0,2,254.720975790228,NA,NA,NA,NA,NA,NA,NA,NA
23,40,273,3,0,0,0,395,16,0,3,33,0,0,0,1,321.611082438924,NA,NA,NA,NA,NA,NA,NA,NA
14,24,281,2,1,0,0,255,9,0,2,1,0,0,0,0,195.67842669574,NA,NA,NA,NA,NA,NA,NA,NA
27,41,278,0,0,0,0,368,14,0,3,8,1,1,0,1,275.678432215178,NA,NA,NA,NA,NA,NA,NA,NA
16,31,295,3,0,1,0,420,11,0,2,11,0,0,0,1,239.711794702972,NA,NA,NA,NA,NA,NA,NA,NA
25,33,378,3,0,0,0,184,13,0,1,2,0,0,0,0,279.661549896913,NA,NA,NA,NA,NA,NA,NA,NA
30,44,443,4,0,1,1,557,18,0,1,-1,0,0,0,0,365.000887399714,NA,NA,NA,NA,NA,NA,NA,NA
27,37,374,3,0,0,0,326,14,0,4,9,0,0,0,1,302.402521110649,NA,NA,NA,NA,NA,NA,NA,NA
24,42,315,0,0,0,0,502,16,0,6,54,0,0,0,4,303.331738009201,NA,NA,NA,NA,NA,NA,NA,NA
22,39,321,1,0,0,0,463,12,0,3,17,0,0,0,1,255.979711846512,NA,NA,NA,NA,NA,NA,NA,NA
19,35,273,3,1,1,1,350,11,0,1,-1,0,0,0,0,241.200588065878,NA,NA,NA,NA,NA,NA,NA,NA
10,11,76,1,0,0,0,25,3,0,1,2,0,0,0,1,105.268950093251,NA,NA,NA,NA,NA,NA,NA,NA
36,50,446,3,0,0,0,418,20,0,0,0,0,0,0,0,392.741760405369,NA,NA,NA,NA,NA,NA,NA,NA
19,32,182,1,1,0,0,255,9,0,5,59,0,0,0,3,220.701795277166,NA,NA,NA,NA,NA,NA,NA,NA
15,29,175,1,0,0,0,259,10,0,3,25,1,0,0,1,212.827603239111,NA,NA,NA,NA,NA,NA,NA,NA
26,40,283,1,1,0,0,219,13,0,6,6,0,0,0,0,264.969752094087,NA,NA,NA,NA,NA,NA,NA,NA
27,34,340,2,1,0,0,337,17,1,3,11,0,0,0,1,339.574956097281,NA,NA,NA,NA,NA,NA,NA,NA
23,33,251,2,0,0,0,244,15,0,2,14,1,0,0,1,292.619296129513,NA,NA,NA,NA,NA,NA,NA,NA
16,25,174,1,1,0,0,142,5,0,7,21,0,0,0,2,153.201916588107,NA,NA,NA,NA,NA,NA,NA,NA
23,35,321,5,0,0,0,228,16,0,7,53,0,1,0,4,333.402145936,NA,NA,NA,NA,NA,NA,NA,NA
23,35,294,3,0,1,0,299,14,0,8,53,1,0,0,4,302.799863559852,NA,NA,NA,NA,NA,NA,NA,NA
26,42,286,2,2,1,0,348,13,0,9,29,1,1,0,3,280.744070632821,NA,NA,NA,NA,NA,NA,NA,NA
24,32,211,3,0,0,0,147,16,0,0,0,0,0,0,0,303.654686875598,NA,NA,NA,NA,NA,NA,NA,NA
27,47,302,2,0,0,0,339,15,1,6,54,0,0,0,4,333.491863511441,NA,NA,NA,NA,NA,NA,NA,NA
31,42,385,4,0,0,0,346,22,0,4,26,1,0,0,2,413.617170700563,NA,NA,NA,NA,NA,NA,NA,NA
19,29,236,2,0,0,0,235,12,0,8,28,0,0,0,1,251.005308801778,NA,NA,NA,NA,NA,NA,NA,NA
22,43,340,2,1,0,0,440,15,1,6,21,1,0,0,1,315.507765506482,NA,NA,NA,NA,NA,NA,NA,NA
21,26,225,2,0,0,0,161,10,0,10,36,0,1,0,1,234.832885101744,NA,NA,NA,NA,NA,NA,NA,NA
15,23,200,1,0,0,0,164,8,0,0,0,0,0,0,0,177.191945824826,NA,NA,NA,NA,NA,NA,NA,NA
31,42,416,5,0,0,0,395,19,0,0,0,0,0,0,0,384.820919327246,NA,NA,NA,NA,NA,NA,NA,NA
30,45,372,4,0,0,0,407,18,0,1,6,0,0,0,1,363.205238902558,NA,NA,NA,NA,NA,NA,NA,NA
34,45,348,2,1,0,0,352,21,0,4,16,0,0,0,1,386.915531402396,NA,NA,NA,NA,NA,NA,NA,NA
37,49,462,3,0,1,1,485,19,0,4,28,0,0,0,3,391.624308003296,NA,NA,NA,NA,NA,NA,NA,NA
25,40,318,1,0,0,0,378,18,0,4,26,0,0,0,2,323.210329025119,NA,NA,NA,NA,NA,NA,NA,NA
24,34,393,2,3,0,0,318,15,0,5,9,0,1,0,1,284.787948890789,NA,NA,NA,NA,NA,NA,NA,NA
26,47,254,3,0,2,1,422,16,1,7,37,0,0,0,3,342.690510836061,NA,NA,NA,NA,NA,NA,NA,NA
24,44,278,2,1,0,0,328,14,0,3,21,0,0,0,1,286.66440971961,NA,NA,NA,NA,NA,NA,NA,NA
21,30,255,1,0,0,0,182,12,0,3,14,1,0,0,2,242.742952194804,NA,NA,NA,NA,NA,NA,NA,NA
29,38,325,3,0,0,0,208,19,0,5,5,0,0,0,0,353.519634394956,NA,NA,NA,NA,NA,NA,NA,NA
26,49,270,0,2,1,0,382,12,0,5,33,0,0,0,3,254.360077060645,NA,NA,NA,NA,NA,NA,NA,NA
27,36,337,3,0,0,0,335,17,0,5,18,1,0,0,2,338.069303561629,NA,NA,NA,NA,NA,NA,NA,NA
24,31,343,3,1,0,0,245,18,0,1,3,0,0,0,0,326.839761885629,NA,NA,NA,NA,NA,NA,NA,NA
27,44,260,3,2,0,0,387,17,0,4,45,0,0,0,3,342.566121666761,NA,NA,NA,NA,NA,NA,NA,NA
24,30,278,5,1,0,0,219,16,0,5,26,0,0,0,2,330.882815434261,NA,NA,NA,NA,NA,NA,NA,NA
33,54,272,2,2,0,0,363,16,0,8,61,0,1,1,5,338.130332777338,NA,NA,NA,NA,NA,NA,NA,NA
32,47,397,2,2,1,0,350,21,0,3,31,0,0,0,2,381.402040820554,NA,NA,NA,NA,NA,NA,NA,NA
20,35,206,0,1,1,0,249,10,0,6,35,0,1,1,1,209.3487892997,NA,NA,NA,NA,NA,NA,NA,NA
29,48,275,1,1,1,0,332,17,0,3,10,0,0,0,1,316.627049763817,NA,NA,NA,NA,NA,NA,NA,NA
20,37,166,1,0,0,0,331,9,0,2,-2,0,0,0,0,208.885626404187,NA,NA,NA,NA,NA,NA,NA,NA
35,50,406,5,0,0,0,399,22,0,0,0,0,0,0,0,427.507319022868,NA,NA,NA,NA,NA,NA,NA,NA
23,37,260,0,1,1,1,198,12,0,7,11,0,0,0,2,230.319338550256,NA,NA,NA,NA,NA,NA,NA,NA
15,29,184,0,1,0,0,151,8,0,4,12,1,0,0,1,172.526588919872,NA,NA,NA,NA,NA,NA,NA,NA
20,24,258,2,0,0,0,142,11,0,4,20,0,1,0,1,234.504554601846,NA,NA,NA,NA,NA,NA,NA,NA
31,47,410,3,1,1,1,299,20,1,3,32,0,0,0,1,395.856019879885,NA,NA,NA,NA,NA,NA,NA,NA
23,30,258,3,0,1,0,254,16,0,0,0,0,0,0,0,302.665861256443,NA,NA,NA,NA,NA,NA,NA,NA
26,35,259,2,0,0,0,297,11,0,2,25,0,0,0,1,265.726920679161,NA,NA,NA,NA,NA,NA,NA,NA
27,44,270,2,0,0,0,278,19,0,9,54,0,0,0,3,354.583165800814,NA,NA,NA,NA,NA,NA,NA,NA
30,39,404,5,1,0,0,194,18,0,3,29,0,0,0,1,372.366064580876,NA,NA,NA,NA,NA,NA,NA,NA
33,44,378,3,0,0,0,226,21,0,7,69,1,0,0,3,411.773137058896,NA,NA,NA,NA,NA,NA,NA,NA
26,39,275,3,2,1,0,274,17,0,3,19,0,0,0,1,325.977746483499,NA,NA,NA,NA,NA,NA,NA,NA
30,39,360,5,0,0,0,304,22,0,3,5,0,1,0,1,404.132968933073,NA,NA,NA,NA,NA,NA,NA,NA
24,35,235,2,0,0,0,249,11,0,2,-1,0,0,0,0,248.399748118592,NA,NA,NA,NA,NA,NA,NA,NA
20,35,262,1,1,0,0,292,12,1,4,26,0,0,0,3,258.727145322967,NA,NA,NA,NA,NA,NA,NA,NA
23,37,249,3,1,0,0,262,17,0,4,34,0,0,0,2,323.327135097726,NA,NA,NA,NA,NA,NA,NA,NA
29,43,292,4,0,0,0,274,18,0,4,28,0,0,0,1,363.587113063546,NA,NA,NA,NA,NA,NA,NA,NA
25,40,338,2,2,0,0,211,16,0,4,21,0,0,0,2,301.685604376185,NA,NA,NA,NA,NA,NA,NA,NA
25,34,423,3,1,1,0,265,19,0,0,0,0,0,0,0,337.648874940389,NA,NA,NA,NA,NA,NA,NA,NA
43,68,446,1,1,0,0,466,23,0,6,63,1,0,0,3,450.477216114788,NA,NA,NA,NA,NA,NA,NA,NA
26,35,331,4,1,0,0,258,17,0,7,39,0,1,0,2,341.051837955295,NA,NA,NA,NA,NA,NA,NA,NA
20,34,329,3,0,0,0,340,15,0,4,23,0,1,0,1,292.296122574179,NA,NA,NA,NA,NA,NA,NA,NA
27,42,320,1,1,0,0,261,20,0,4,36,0,0,0,3,345.693145405607,NA,NA,NA,NA,NA,NA,NA,NA
16,27,223,1,0,0,0,255,11,0,2,9,1,0,0,1,219.245225046961,NA,NA,NA,NA,NA,NA,NA,NA
28,42,352,3,3,0,0,294,15,0,3,-3,0,0,0,0,306.85853147854,NA,NA,NA,NA,NA,NA,NA,NA
36,41,336,2,0,0,0,227,20,1,5,33,1,1,0,3,401.60117379421,NA,NA,NA,NA,NA,NA,NA,NA
16,28,224,2,0,0,0,209,9,0,2,8,1,0,0,1,206.9695634957,NA,NA,NA,NA,NA,NA,NA,NA
29,42,328,3,1,0,0,313,18,0,4,8,0,0,0,0,347.666332924232,NA,NA,NA,NA,NA,NA,NA,NA
18,26,202,1,0,0,0,235,9,0,3,29,0,0,0,2,207.695248148675,NA,NA,NA,NA,NA,NA,NA,NA
22,30,195,2,0,0,0,166,11,0,3,8,0,0,0,1,240.446043277537,NA,NA,NA,NA,NA,NA,NA,NA
29,43,326,2,0,1,1,285,17,0,3,8,0,0,0,1,323.897011448224,NA,NA,NA,NA,NA,NA,NA,NA
21,27,182,3,0,0,0,167,12,0,6,44,0,1,0,2,266.066939631855,NA,NA,NA,NA,NA,NA,NA,NA
21,39,226,2,1,0,0,354,10,0,6,45,0,0,0,3,244.636941665697,NA,NA,NA,NA,NA,NA,NA,NA
29,41,305,2,1,0,0,274,12,0,7,30,0,1,0,3,277.722119478664,NA,NA,NA,NA,NA,NA,NA,NA
24,33,272,3,0,0,0,223,14,0,3,28,0,0,0,2,294.671380869143,NA,NA,NA,NA,NA,NA,NA,NA
18,30,203,1,2,0,0,195,9,0,7,51,0,1,0,4,205.042756181187,NA,NA,NA,NA,NA,NA,NA,NA
31,41,281,2,0,0,0,241,15,0,0,0,0,0,0,0,310.823942975531,NA,NA,NA,NA,NA,NA,NA,NA
30,40,306,1,1,0,0,158,14,0,6,31,0,0,0,2,292.180416416736,NA,NA,NA,NA,NA,NA,NA,NA
32,42,424,4,1,0,0,343,21,0,4,29,0,0,0,2,402.715227543226,NA,NA,NA,NA,NA,NA,NA,NA
24,38,240,0,2,1,1,277,12,0,3,20,0,0,0,1,241.066424693802,NA,NA,NA,NA,NA,NA,NA,NA
20,30,185,2,0,1,1,167,11,0,6,24,0,0,0,0,239.133127838585,NA,NA,NA,NA,NA,NA,NA,NA
24,43,177,2,1,0,0,383,10,0,6,38,0,0,0,2,254.505251969765,NA,NA,NA,NA,NA,NA,NA,NA
27,34,298,2,0,0,0,167,17,0,5,9,0,0,0,1,316.00989992831,NA,NA,NA,NA,NA,NA,NA,NA
21,33,210,1,1,0,0,286,13,0,4,26,0,0,0,1,257.824035289044,NA,NA,NA,NA,NA,NA,NA,NA
25,43,271,1,1,0,0,285,14,0,1,8,0,0,0,1,273.48209178299,NA,NA,NA,NA,NA,NA,NA,NA
27,37,305,2,2,0,0,214,14,0,3,-5,0,0,0,0,281.697927095837,NA,NA,NA,NA,NA,NA,NA,NA
27,44,235,1,1,1,0,159,10,0,10,53,0,0,0,4,246.361511944075,NA,NA,NA,NA,NA,NA,NA,NA
21,29,245,1,0,1,1,147,10,0,4,2,0,0,0,1,211.505220511902,NA,NA,NA,NA,NA,NA,NA,NA
23,41,262,1,0,0,0,295,14,0,2,41,0,0,0,2,280.48901081406,NA,NA,NA,NA,NA,NA,NA,NA
17,23,215,2,0,0,0,165,12,0,6,19,0,0,0,1,238.182082843865,NA,NA,NA,NA,NA,NA,NA,NA
30,39,241,1,0,0,0,233,12,0,6,15,0,0,0,1,272.127067199421,NA,NA,NA,NA,NA,NA,NA,NA
34,46,333,2,1,1,0,280,15,0,9,66,0,1,0,5,332.933708774791,NA,NA,NA,NA,NA,NA,NA,NA
20,28,291,1,1,0,0,165,15,0,2,3,0,0,0,1,260.144579142163,NA,NA,NA,NA,NA,NA,NA,NA
18,25,151,2,2,0,0,104,7,0,4,29,0,0,0,1,191.375890063245,NA,NA,NA,NA,NA,NA,NA,NA
26,39,217,2,1,0,0,206,13,0,6,17,0,0,0,1,276.758446967627,NA,NA,NA,NA,NA,NA,NA,NA
19,29,245,1,1,0,0,197,8,0,5,12,0,0,0,1,192.86982339405,NA,NA,NA,NA,NA,NA,NA,NA
28,39,331,0,1,0,0,167,15,0,6,22,0,0,0,3,280.711203250854,NA,NA,NA,NA,NA,NA,NA,NA
16,27,154,0,2,0,0,212,11,0,5,39,1,0,0,3,213.631110236385,NA,NA,NA,NA,NA,NA,NA,NA
27,38,262,2,1,0,0,254,17,0,6,17,0,0,0,2,319.367411983572,NA,NA,NA,NA,NA,NA,NA,NA
34,44,291,3,0,0,0,276,19,0,2,9,0,0,0,1,372.591653955917,NA,NA,NA,NA,NA,NA,NA,NA
28,42,266,1,0,0,0,213,13,0,3,19,0,0,0,1,276.494440161157,NA,NA,NA,NA,NA,NA,NA,NA
23,33,196,3,2,0,0,228,15,0,0,0,0,0,0,0,290.844543263118,NA,NA,NA,NA,NA,NA,NA,NA
3081,4606,35963,275,82,29,12,34873,1796,7,503,2627,18,18,2,181,36529.3788324114,"Total","Total","N/A","N/A",NA,NA,"N/A","N/A"
